Label;Part Type;mn;mpn;part number;
100Ω1;100Ω Resistor;;;;
100Ω2;100Ω Resistor;;;;
104;Capacitor;;;;
105;Capacitor;;;;
10k;Rotary Potentiometer (Small);;;;
10k;Rotary Potentiometer (Small);;;;
10k;Rotary Potentiometer (Small);;;;
10K2;Rotary Potentiometer (Small);;;;
10K3;10kΩ Resistor;;;;
1k;1kΩ Resistor;;;;
1k;1kΩ Resistor;;;;
1K;1kΩ Resistor;;;;
1K;4.7kΩ Resistor;;;;
1KΩ1;1kΩ Resistor;;;;
4.7k;4.7kΩ Resistor;;;;
Audio OUt1;Audio Jack (TRS) 3.5mm;;;;
C1;Electrolytic Capacitor;;;;
clckaudio1;Audio Jack (TRS) 3.5mm;;;;
J+;Generic female header - 4 pins;;;;
J2;Generic female header - 3 pins;;;;
J5;Generic female header - 3 pins;;;;
J11;Generic female header - 2 pins;;;;
J12;Generic female header - 2 pins;;;;
J13;Generic female header - 5 pins;;;;
J8/7;Generic female header - 2 pins;;;;
J8/8;Generic female header - 2 pins;;;;
J9;Generic female header - 2 pins;;;;
J10;Generic female header - 2 pins;;;;
JAIN;Generic female header - 2 pins;;;;
JGND;Generic female header - 4 pins;;;;
LED1;Red (633nm) LED;;;;
Nano;Arduino Nano (Rev3.0);;;;
RE1;Rotary Encoder;;;;
RXTX;Generic female header - 2 pins;;;;
S2;Pushbutton;;;;
S3;Pushbutton;;;;
S5;SPST Switch;;;;
SSD1307;OLED Mono 0.56 inch blue or white;;;;
VCC1;4 x AAA Battery Mount;;;;

Amount;Part Type;mn;mpn;part number;
2;100Ω Resistor;;;;
1;10kΩ Resistor;;;;
4;1kΩ Resistor;;;;
1;4 x AAA Battery Mount;;;;
2;4.7kΩ Resistor;;;;
1;Arduino Nano (Rev3.0);;;;
2;Audio Jack (TRS) 3.5mm;;;;
2;Capacitor;;;;
1;Electrolytic Capacitor;;;;
8;Generic female header - 2 pins;;;;
2;Generic female header - 3 pins;;;;
2;Generic female header - 4 pins;;;;
1;Generic female header - 5 pins;;;;
1;OLED Mono 0.56 inch blue or white;;;;
2;Pushbutton;;;;
1;Red (633nm) LED;;;;
1;Rotary Encoder;;;;
4;Rotary Potentiometer (Small);;;;
1;SPST Switch;;;;
